"Time (s)","Sound pressure level (dB)"
2.744052375E1,-7.029839700E1
2.754718000E1,-6.980580186E1
2.765180787E1,-7.004374468E1
2.775866062E1,-7.036317529E1
2.786553971E1,-7.093477039E1
2.796799533E1,-7.118983837E1
2.807354238E1,-6.928773510E1
2.818000125E1,-7.153264788E1
2.828580742E1,-6.985785346E1
2.838998433E1,-7.071201977E1
2.849671929E1,-7.071108820E1
2.860345025E1,-7.038771313E1
2.870651175E1,-7.011154835E1
2.881331754E1,-7.064006667E1
2.892008187E1,-7.032982439E1
2.902264208E1,-7.073453333E1
2.912508033E1,-6.995531017E1
2.923181608E1,-7.022518814E1
2.933853658E1,-6.976373600E1
2.944314687E1,-7.006980659E1
2.955015942E1,-7.107791481E1
2.965694300E1,-6.931956893E1
2.976122996E1,-6.997356807E1
2.986794300E1,-7.112458703E1
2.997360142E1,не число
3.007933371E1,-7.107509958E1
3.018210837E1,-7.002948759E1
3.028883338E1,-7.021522941E1
3.039543758E1,-7.086583229E1
3.049780375E1,-6.977185282E1
3.060453762E1,-6.912221445E1
3.071120883E1,-7.006627427E1
3.081605254E1,-7.085883741E1
3.092294800E1,-6.982224012E1
3.102860833E1,-7.064405566E1
3.113399475E1,-6.434027337E1
3.123667312E1,-6.508092232E1
3.134344521E1,-6.877645467E1
3.145004271E1,-7.180371154E1
3.155255208E1,-7.144041109E1
3.165667250E1,-6.948323452E1
3.176349429E1,-6.781331799E1
3.186857762E1,-6.962540950E1
3.197366704E1,-7.120009960E1
3.208043417E1,-7.004045660E1
3.218652167E1,-6.990667381E1
3.228904779E1,-6.603196908E1
3.239581542E1,-6.861021497E1
3.250261800E1,-7.129403398E1
3.260704417E1,-7.053878398E1
3.271259346E1,-7.040608992E1
3.281922233E1,-6.822410846E1
3.292515383E1,-6.659545665E1
3.303195617E1,-7.045078193E1
3.313880642E1,-6.833939848E1
3.324320017E1,-7.052669111E1
3.335000483E1,-7.103029684E1
3.345673321E1,-6.837932978E1
3.356130312E1,-6.967602501E1
3.366332800E1,-7.087581287E1
3.377023383E1,-7.027217865E1
3.387354833E1,не число
3.397772683E1,-7.023258041E1
3.408015162E1,-6.448987763E1
3.418690417E1,-6.404489668E1
3.428993775E1,-6.544324552E1
3.439628575E1,-6.648389342E1
3.449866762E1,-6.862175970E1
3.460536587E1,-6.904305985E1
3.471201029E1,-6.934621034E1
3.481673321E1,-7.056161834E1
3.492342217E1,-7.064016353E1
3.503011267E1,-7.061954543E1
3.513481633E1,-6.953941970E1
3.523755162E1,-7.142227969E1
3.534403592E1,-7.073877689E1
3.545077733E1,-6.980043882E1
3.555389483E1,-6.961100902E1
3.565707617E1,-6.879045174E1
3.576379412E1,-7.035708831E1
3.586922833E1,-6.998284273E1
3.597353354E1,не число
3.607953117E1,-6.939196185E1
3.618621362E1,-7.064710404E1
3.629210633E1,-7.038715956E1
3.639890788E1,-7.031188013E1
3.650539787E1,-7.049170060E1
3.661213625E1,-7.016899284E1
3.671691596E1,-7.020497081E1
3.682346521E1,-6.981973530E1
3.692999221E1,-6.976026327E1
3.703673333E1,-6.915348758E1
3.714159867E1,-6.925999031E1
3.724630779E1,-6.995411514E1
3.735241275E1,-7.175566113E1
3.745907850E1,-6.910864947E1
3.756588512E1,-7.050698297E1
3.767261942E1,не число
3.777756267E1,-6.985036197E1
3.788426546E1,-6.968675979E1
3.799093162E1,-6.959711102E1
3.809584842E1,-7.017112689E1
3.820262767E1,-7.038527939E1
3.830947254E1,-7.181781058E1
3.841393517E1,-7.068671402E1
3.851630137E1,-7.046930702E1
3.862316483E1,-7.108510436E1
3.872990225E1,-6.996880645E1
3.883433000E1,-6.971012098E1
3.893665458E1,-7.004629686E1
3.904341754E1,-7.046520745E1
3.915022267E1,-7.043375286E1
3.925288967E1,-7.011485499E1
3.935661496E1,-6.970146676E1
3.946403196E1,-6.958096163E1
3.956898142E1,-7.074025622E1
3.967357108E1,-7.174100452E1
3.977666812E1,не число
3.988251983E1,-7.056809374E1
3.998753058E1,-6.960186873E1
4.008993342E1,-6.927123757E1
4.019672408E1,-6.963912698E1
4.030346783E1,-7.103552540E1
4.040798992E1,-7.090855131E1
4.051474429E1,-7.151874086E1
4.062149629E1,-7.070929138E1
4.072609479E1,-7.013246354E1
4.083284862E1,-6.975247799E1
4.093955887E1,-6.940957922E1
4.104416162E1,-6.979666377E1
4.115088917E1,-7.004111399E1
4.125782625E1,-6.985705475E1
4.136005221E1,-6.945630818E1
4.146261683E1,-7.017364136E1
4.156934825E1,не число
4.167358467E1,-6.925746540E1
4.177854946E1,-6.879096477E1
4.188530404E1,-6.972872294E1
4.199203587E1,-6.984403478E1
4.209670483E1,-7.010967821E1
4.219919437E1,-7.032255553E1
4.230592229E1,-7.098826969E1
4.241276267E1,-7.106198650E1
4.251515642E1,-7.090900982E1
4.261762833E1,-7.042016656E1
4.272288350E1,-7.057736931E1
4.282971592E1,-7.065882520E1
4.293560517E1,-6.722925807E1
4.304234567E1,-7.119813609E1
4.314904283E1,-6.943303591E1
4.325177896E1,-7.011067874E1
4.335860683E1,-7.096925244E1
4.346550362E1,-7.204786937E1
4.357164346E1,-7.060785701E1
4.367354504E1,не число
4.377957529E1,-7.186702882E1
4.388623054E1,-6.262831460E1
4.398821662E1,-6.195824736E1
4.409492604E1,-6.602434501E1
4.420167854E1,-6.760025332E1
4.430625658E1,-6.849023618E1
4.440869917E1,-6.523021111E1
4.451214675E1,-6.006859959E1
4.461928679E1,-6.264460662E1
4.472454167E1,-6.383598826E1
4.483120146E1,-6.719043487E1
4.493802158E1,-5.756608059E1
4.504259575E1,-5.419318612E1
4.514524762E1,-5.687803311E1
4.525196417E1,-5.842949151E1
4.535710196E1,-6.247160700E1
4.546130821E1,-6.383738613E1
4.556376042E1,-6.759703224E1
4.566761667E1,-7.006377311E1
4.577346667E1,не число
4.587953517E1,-7.200786256E1
4.598623112E1,-7.036172879E1
4.609295350E1,-7.086449324E1
4.619780508E1,-6.983483129E1
4.630018471E1,-6.666840543E1
4.640694321E1,-6.946558668E1
4.651363763E1,-7.016969069E1
4.661830767E1,-7.081479545E1
4.672502562E1,-7.093130302E1
4.683184387E1,-7.056485530E1
4.693631433E1,-7.049879077E1
4.704299737E1,-7.107035885E1
4.714964608E1,-7.153184791E1
4.725443117E1,-7.199896356E1
4.736117704E1,-7.057264102E1
4.746717275E1,не число
4.757236596E1,-6.945443697E1
4.767904154E1,-6.984642165E1
4.778573617E1,-7.094220064E1
4.789048437E1,-6.911386434E1
4.799620258E1,-6.971253521E1
4.810303342E1,-6.877924533E1
4.820843850E1,-7.042765041E1
4.831520683E1,-6.939523871E1
4.842204658E1,-7.050147396E1
4.852464208E1,-6.880485251E1
4.862703175E1,-7.023794209E1
4.873381133E1,-6.968920821E1
4.884052904E1,-7.059640372E1
4.894500125E1,-7.080729510E1
4.905186150E1,-6.846855919E1
4.915844512E1,-7.018505723E1
4.926308312E1,не число
4.936422017E1,-7.127424591E1
4.947094588E1,-7.067935266E1
4.957356683E1,не число
4.967944100E1,-7.159711858E1
4.978200992E1,-7.058371535E1
4.988872529E1,-7.055035708E1
4.999547621E1,-7.019738760E1
5.010014833E1,-7.013338042E1
5.020691617E1,-7.099862162E1
5.031368067E1,-6.932206260E1
5.041827962E1,-7.060391140E1
5.052511579E1,-7.090741011E1
5.063194488E1,-7.256004784E1
5.073619825E1,-7.161981613E1
5.084302437E1,-7.098028242E1
5.094983671E1,-7.128597807E1
5.105428842E1,-6.920144901E1
5.116102567E1,-7.063932890E1
5.126770183E1,-6.939034320E1
5.137340804E1,не число
5.147915417E1,-6.972197097E1
5.158590354E1,-6.912606746E1
5.169040800E1,-6.938444098E1
5.179719575E1,-7.022493453E1
5.190390483E1,-6.924395479E1
5.200843167E1,-6.986751301E1
5.211123075E1,-7.004504413E1
5.221806967E1,-7.225280730E1
5.232451713E1,-7.177064689E1
5.242711687E1,-7.061674697E1
5.253396154E1,-6.991214822E1
5.264070137E1,-7.158548355E1
5.274317938E1,-7.006371176E1
5.284559908E1,-6.958181626E1
5.295241567E1,-7.018105459E1
5.305925521E1,-7.011810166E1
5.316148317E1,-6.955998067E1
5.326816412E1,-7.037207813E1
5.337314733E1,-7.186165160E1
